11j	0.38487736548652934	0.4190172759482331	0.09618500920101943	0.029525666730753453	0.01897882391716338	0.001126095196242687	0.01474910049712986	0.006042462028619314	0.007360817380318065	0.002059930237029304	0.006564311022000062	0.0026916421763849585	0.0009613007772803425	0.0021148617100167537	0.0010436979867615148	0.004476915048477029	0.0014282182976736518	0.0002746573649372408	0.0001373286824686204	0.0	5.493147298744816e-05	0.0	0.0002746573649372408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.493147298744816e-05	0.0	0.0	0.0
12j	0.4721860278640636	0.2303297584444247	0.22737295780294992	0.02084795028565707	0.00882028665931642	0.0014533426881828205	0.008569710333767662	0.006565099729377576	0.003457953292572921	0.0031071464368046544	0.004560489124987474	0.004009221208780197	0.0008018442417560388	0.0016036884835120776	0.0016036884835120776	0.002806454846146137	0.0012528816277438109	0.00010023053021950487	0.00020046106043900973	0.0	0.0	0.0	0.00030069159065851457	0.0	0.0	5.011526510975243e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13j	0.5316378521970376	0.2452641205417374	0.12010625789313353	0.032138657840874475	0.01367417149327177	0.0011758045551539433	0.015851587336149445	0.009145146540086217	0.005182249706048858	0.0027435439620258637	0.007054827330923656	0.005922571092627267	0.0006532247528633019	0.0012193528720114968	0.002046770892305012	0.0037016069328920428	0.0020032225754474586	0.00017419326743021383	0.0	4.354831685755346e-05	0.0	4.354831685755346e-05	0.00017419326743021383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.354831685755346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14j	0.4454827631752415	0.30923920221897544	0.13621054021925905	0.031006472064456534	0.016774534407607997	0.0013538502179368647	0.018392550521727676	0.00795799762250694	0.006637168141592925	0.004061550653810588	0.009014661207238152	0.005283317923656058	0.0008255184255712587	0.0020142649583938716	0.0019812442213710214	0.0016180161141196674	0.0014198916919825654	6.60414740457007e-05	0.0001320829480914014	0.0	0.0	0.0	0.00036322810725135385	0.0	0.0	0.0	0.0	0.0	0.0	9.906221106855105e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.60414740457007e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15j	0.412593586664753	0.3083768893911387	0.16061590620144303	0.035774826952959755	0.021825116541884414	0.001518576070066393	0.015856759429297908	0.009888402316711386	0.006709987286339872	0.0050501483260347434	0.006074304280265569	0.003990676649244243	0.001306681734708292	0.0021189433535810137	0.0014126289023873426	0.004873569713236328	0.001059471676790507	0.0003178415030371522	0.0004237886707162029	0.0	7.063144511936714e-05	0.0	0.00010594716767905072	0.0	0.0	0.0	0.0	0.0	0.0	3.531572255968357e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16j	0.4606985930495801	0.24286538546891082	0.19528649416359783	0.030802006124894442	0.013847587767964142	0.0016865651768674275	0.01588921929785628	0.007900226354800055	0.005503528471883184	0.0041276463539123886	0.007855843060671965	0.0045270960010652	0.00031068305889663135	0.0018197150592516981	0.001153965647330345	0.0027073809418135014	0.002130398118148329	0.00013314988238427057	0.00017753317651236075	0.0	0.00013314988238427057	0.0	0.00039944964715281177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.438329412809019e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17j	0.4891943396991614	0.2802173296030565	0.1261809187852254	0.032883266431496645	0.016745732473746083	0.001135303896525159	0.013299274216437602	0.009244617443133455	0.006771276811417924	0.003689737663706766	0.00705510278554921	0.003973563637838056	0.00040546567733041396	0.0018245955479868625	0.0011758504642582004	0.0038519239346389324	0.0014191298706564487	0.0001621862709321656	8.10931354660828e-05	0.0	8.10931354660828e-05	0.0	0.0005676519482625795	0.0	0.0	0.0	0.0	0.0	0.0	4.05465677330414e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18j	0.5749641048893037	0.20751152421975644	0.08263432328270359	0.03287236454318742	0.028867225874707147	0.0015869417365676716	0.01953449709060679	0.011486435426585085	0.004231844630847124	0.002153706642484697	0.014509181591475878	0.007972493009899497	0.00011335298118340512	0.0025315499130960472	0.002947177510768533	0.003740648379052369	0.0015113730824454015	0.0003022746164890803	0.0001889216353056752	0.0	3.778432706113504e-05	0.0	0.0001889216353056752	0.0	0.0	0.0	0.0	0.0	0.0	0.00011335298118340512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19j	0.6569646569646539	0.0893970893970894	0.11434511434511435	0.0395010395010395	0.006237006237006237	0.002079002079002079	0.016632016632016633	0.002079002079002079	0.002079002079002079	0.04365904365904366	0.012474012474012475	0.010395010395010396	0.0	0.002079002079002079	0.002079002079002079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20j	0.4820743101325384	0.2664952560295494	0.16850148475410953	0.021728108930252704	0.010972695009777631	0.0011588324762801477	0.01358006808140795	0.009162019265589903	0.004273194756283045	0.00416455421163179	0.00593901644093576	0.004418048815818065	0.00028970811907003694	0.000869124357210111	0.0014123270804664299	0.0031143622800028975	0.0013761135655826753	0.00021728108930252772	0.00010864054465126386	0.0	0.0	0.0	0.00010864054465126386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621351488375462e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
